Wall time,Step,Value
1700372830.8360724,12,0.02576475962996483
1700372830.9428782,25,0.04917808994650841
1700372831.0470147,38,0.02516874298453331
1700372831.148929,51,0.012298463843762875
1700372831.2513201,64,0.008654242381453514
1700372831.363202,77,0.0036585917696356773
1700372831.4733386,90,0.0031373638194054365
1700372831.5810852,103,0.0022849906235933304
1700372831.6838825,116,0.0016692524077370763
1700372831.7872193,129,0.001688990043476224
1700372831.90761,142,0.0016881440533325076
1700372832.0125666,155,0.0015094607369974256
1700372832.116071,168,0.001392848091199994
1700372832.22213,181,0.0012495687697082758
1700372832.3265212,194,0.0013272198848426342
1700372832.417993,207,0.0012093952391296625
1700372832.5096345,220,0.0011268812231719494
1700372832.601857,233,0.0011553042568266392
1700372832.69406,246,0.0010539240902289748
1700372832.7850037,259,0.0011152270017191768
1700372832.8888237,272,0.0010889341356232762
1700372832.9818218,285,0.001010278589092195
1700372833.073047,298,0.0011006402783095837
1700372833.1642153,311,0.0011482115369290113
1700372833.2550378,324,0.001008601626381278
1700372833.3432238,337,0.0011388055281713605
1700372833.433404,350,0.001215886091813445
1700372833.5227883,363,0.0014617586275562644
1700372833.6117241,376,0.001762268366292119
1700372833.7021635,389,0.0025612274184823036
1700372833.7950141,402,0.002904450986534357
1700372833.9080913,415,0.0016600749222561717
1700372834.0050159,428,0.0011442829854786396
1700372834.0980814,441,0.001512426184490323
1700372834.193183,454,0.0023444427642971277
1700372834.2853014,467,0.003183122491464019
1700372834.3771267,480,0.005948787555098534
1700372834.4690292,493,0.009296631440520287
1700372834.5610673,506,0.011816160753369331
1700372834.6729195,519,0.006781012751162052
1700372834.7654214,532,0.009647182188928127
1700372834.8683465,545,0.0025050113908946514
1700372834.9629312,558,0.002950316062197089
1700372835.0562944,571,0.003739236854016781
1700372835.1492188,584,0.0018045478500425816
1700372835.2421803,597,0.002809056080877781
1700372835.3345032,610,0.0013865437358617783
1700372835.4280298,623,0.0016073466977104545
1700372835.5199132,636,0.0009833070216700435
1700372835.622162,649,0.001197531004436314
1700372835.7139807,662,0.0012714576441794634
1700372835.8058875,675,0.0012771561741828918
1700372835.903327,688,0.0008552050567232072
1700372835.9963558,701,0.00096870370907709
1700372836.0856712,714,0.0009033806272782385
1700372836.1772854,727,0.0010512979933992028
1700372836.2969105,740,0.0009280594531446695
1700372836.3923693,753,0.0009591837297193706
1700372836.493008,766,0.0009787952294573188
1700372836.5910738,779,0.0011374568566679955
1700372836.6893723,792,0.0011834774632006884
1700372836.7941434,805,0.0011849829461425543
1700372836.914072,818,0.0010927892290055752
1700372837.0210059,831,0.0013263511937111616
1700372837.1372824,844,0.0011019865050911903
1700372837.22796,857,0.001183070009574294
1700372837.3213398,870,0.0008191637462005019
1700372837.4196742,883,0.0011031494941562414
1700372837.52483,896,0.0009179907501675189
1700372837.6180916,909,0.0009791974443942308
1700372837.723217,922,0.0007995967171154916
1700372837.8198605,935,0.0007990503218024969
1700372837.9180176,948,0.0009023683960549533
1700372838.0134184,961,0.0007893664296716452
1700372838.108565,974,0.0008512121275998652
1700372838.206922,987,0.0007401639595627785
1700372838.3009253,1000,0.0006566508091054857
1700372838.3961596,1013,0.0006978741148486733
1700372838.4894173,1026,0.0006393228541128337
1700372838.5799909,1039,0.0007014177390374243
1700372838.6740804,1052,0.000612746924161911
1700372838.7704008,1065,0.0005672656116075814
1700372838.8724499,1078,0.0005999142886139452
1700372838.9689412,1091,0.0006038426072336733
1700372839.0648322,1104,0.0005995341343805194
1700372839.153952,1117,0.0006184746162034571
1700372839.2510674,1130,0.0005970736383460462
1700372839.348114,1143,0.0005998307606205344
1700372839.44336,1156,0.0005976887186989188
1700372839.5539176,1169,0.0006049100775271654
1700372839.6579528,1182,0.0006456676055677235
1700372839.7510943,1195,0.0005225932691246271
1700372839.8442473,1208,0.0005397179629653692
1700372839.943029,1221,0.0006323516718111932
1700372840.035459,1234,0.00081537791993469
1700372840.12714,1247,0.0010470550041645765
1700372840.218656,1260,0.00113921076990664
1700372840.3092582,1273,0.0009137148736044765
1700372840.4004633,1286,0.0006206452380865812
1700372840.4918802,1299,0.000780869391746819
